아이디,이벤트그룹,시작 타입,시작 타입 값 (이름),시작 조건1,시작 조건1 값,시작 조건2,시작 조건2 값,이벤트 타입,이벤트 타입 값,대상 타겟,설명 (기획용),,
id,groupId,startType,startValue,conditionType1,conditionValue1,conditionType2,conditionValue2,eventType,eventValue,targetObject,description,,
int,int,string,string,string,string,string,string,string,string,string,string,,
8001,200,enterCollider,200_enter_tile,checkSwitchOff,9008,none,none,soundOnce,Sound/Event/262552__giddster__manic-whistle,200_target_tile,휘파람 사운드 출력,,
8002,200,enterCollider,200_enter_tile,checkSwitchOff,9008,none,none,setSwitchOn,9008,none,,,
8003,201,enterCollider,201_enter_tile,none,none,none,none,soundOnce,Sound/Event/201_door_kuwang,201_target_tile,쾅!쾅!쾅! 라는 사운드 출력,,
8004,201,enterCollider,201_enter_tile,none,none,none,none,cooldown,15,self,,,
8005,202,enterCollider,202_enter_tile,none,none,none,none,soundOnce,Sound/Event/202_door_opening,202_target_tile,방문을 여는 효과음 출력,,
8006,202,enterCollider,202_enter_tile,none,none,none,none,cooldown,30,self,,,
8007,203,enterCollider,203_enter_tile,none,none,none,none,soundOnce,Sound/Event/203_crying_lady,203_target_tile,문 밖에서 여성이 희미하게 우는 목소리 출력,,
8008,203,enterCollider,203_enter_tile,none,none,none,none,cooldown,5,self,,,
8009,204,enterCollider,204_enter_tile,checkSwitchOff,9009,none,none,soundOnce,Sound/Event/204_door_scratched,204_target_tile,문을 긁는 듯한 소름끼치는 소리 출력,,
8010,204,enterCollider,204_enter_tile,checkSwitchOff,9009,none,none,setSwitchOn,9009,none,,,
8011,205,enterCollider,205_enter_tile,checkSwitchOff,9010,none,none,soundOnce,Sound/Event/205_door_openning,205_target_tile,찰칵! 하고 잠긴 문이 열리는 소리 출력,,
8012,205,enterCollider,205_enter_tile,checkSwitchOff,9010,none,none,setSwitchOn,9010,none,,,
8013,206,enterCollider,206_enter_tile,checkSwitchOff,9011,none,none,soundOnce,Sound/Event/206_hiding,206_target_tile,"다급한 발소리, 우당탕탕, 쨍그랑 등 출력",,
8014,206,enterCollider,206_enter_tile,checkSwitchOff,9011,none,none,setSwitchOn,9011,none,,,
8015,207,enterCollider,207_enter_tile,checkSwitchOff,9012,none,none,soundOnce,Sound/Event/316797__dimbark1__ghostly-whispers,self,속삭임 사운드 출력,,
8016,207,enterCollider,207_enter_tile,checkSwitchOff,9012,none,none,setSwitchOn,9012,none,,,
8017,208,enterCollider,208_enter_tile,checkSwitchOff,9013,none,none,soundOnce,Sound/Event/208_kids_laughing,208_target_tile,아이가 웃는 소리 출력,,
8018,208,enterCollider,208_enter_tile,checkSwitchOff,9013,none,none,setSwitchOn,9013,none,,,
8019,209,enterCollider,209_enter_tile,checkSwitchOff,9014,none,none,delay,2,none,,,
8020,209,enterCollider,209_enter_tile,checkSwitchOff,9014,none,none,soundOnce,Sound/Event/209_falling,self,"쿵!, 텅, 북! 등 플레이어의 주의를 끄는 소리 출력",,
8021,209,enterCollider,209_enter_tile,checkSwitchOff,9014,none,none,setActiveObject,TRUE,209_spawn_tile,일기장 등 오브젝트 소환,,
8022,209,enterCollider,209_enter_tile,checkSwitchOff,9014,none,none,setSwitchOn,9014,none,9015 스위치 on,,
8023,210,interaction,209_spawn_tile,checkSwitchOff,9023,none,none,showText,100033,self,괴담 등 텍스트,,
8024,210,interaction,209_spawn_tile,checkSwitchOff,9023,none,none,soundOnce,Sound/Event/347912__reasanka__scary-laughing-sound-effect-2-rea,self,여자애가 웃는 소리 출력,,
8025,210,interaction,209_spawn_tile,checkSwitchOff,9023,none,none,setSwitchOn,9023,none,소리 중복을 막기위한 스위치 on,,
8026,210,interaction,209_spawn_tile,none,none,none,none,delay,3,none,오브젝트 비활성화로 소리 제거를 막기 위한 딜레이,,
8027,210,interaction,209_spawn_tile,none,none,none,none,setActiveObject,FALSE,209_spawn_tile,오브젝트 비활성화 or 소멸,,
8028,214,interaction,214_inter_door,checkSwitchOff,9018,none,none,soundLoop,Sound/Event/215_interphone,214_target_tile,"따르르릉 등 소리 출력, Loop 출력",,
8029,214,interaction,214_inter_door,checkSwitchOff,9018,none,none,setSwitchOn,9018,none,9018 스위치 on,,
8030,215,interaction,215_inter_interphone,checkSwitchOn,9018,checkSwitchOff,9019,soundStop,Sound/Event/215_interphone,214_target_tile,인터폰 사운드 꺼짐,,
8031,215,interaction,215_inter_interphone,checkSwitchOn,9018,checkSwitchOff,9019,showText,100010,none,인터폰 텍스트,,
8032,217,enterCollider,217_enter_tile,checkSwitchOff,9021,none,none,soundLoop,Sound/Event/217_stalker,217_enter_tile,저벅저벅 등 발소리 출력,,
8033,217,enterCollider,217_enter_tile,checkSwitchOff,9021,none,none,setSwitchOn,9021,,,,
8034,218,enterCollider,218_enter_tile,none,none,none,none,soundStop,Sound/Event/217_stalker,217_enter_tile,사운드 출력 꺼짐,,
8035,219,enterCollider,218_enter_tile2,none,none,none,none,soundStop,Sound/Event/217_stalker,217_enter_tile,사운드 출력 꺼짐,,
8101,301,enterCollider,guide_first,checkSwitchOff,9101,none,none,showText,100006,none,,,
8102,302,enterCollider,guide_first,checkSwitchOff,9101,none,none,setSwitchOn,9101,none,,,
8103,303,enterCollider,guide_shop,checkSwitchOff,9102,none,none,showText,100008,none,,,
8104,304,enterCollider,guide_shop,checkSwitchOff,9102,none,none,setSwitchOn,9102,none,,,
8105,305,enterCollider,guide_chest,checkSwitchOff,9103,none,none,showText,100009,none,,,
8106,306,enterCollider,guide_chest,checkSwitchOff,9103,none,none,setSwitchOn,9103,none,,,
8107,307,interaction,doorgate2,none,none,none,none,showText,100031,none,,,
8108,308,interaction,308_Manual,none,none,none,none,showText,100037,none,,,
8109,309,interaction,,none,none,none,none,showText,,none,,,
8110,310,interaction,,none,none,none,none,showText,,none,,,
8111,311,interaction,,none,none,none,none,showText,,none,,,
8112,312,interaction,,none,none,none,none,showText,,none,,,
8113,313,interaction,,none,none,none,none,showText,,none,,,
8114,314,interaction,,none,none,none,none,showText,,none,,,
8115,315,interaction,,none,none,none,none,showText,,none,,,
8116,316,interaction,,none,none,none,none,showText,,none,,,
8117,317,interaction,,none,none,none,none,showText,,none,,,
8118,318,interaction,,none,none,none,none,showText,,none,,,
8119,319,interaction,,none,none,none,none,showText,,none,,,
